"","Tree_first_cl","Tree_second_cl","Tree_third_cl","NN_first_cl","NN_second_cl","NN_third_cl","Tree_first_bt","Tree_second_bt","Tree_third_bt","NN_first_bt","NN_second_bt","NN_third_bt","Tree_first_KL","Tree_second_KL","Tree_third_KL","NN_first_KL","NN_second_KL","NN_third_KL","Tree_first_cor","Tree_second_cor","Tree_third_cor","NN_first_cor","NN_second_cor","NN_third_cor","topLeaf_id","topLeaf_label","topLeaf_color","Tree_call","NN_call","Tree_color","NN_color","Tree_id","NN_id","Old_cluster","Old_call","Old_color","Old_id"
"P1S4_190422_003_A01","Lamp5 Krt73","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2","Lamp5 Krt73","Lamp5 Fam19a1 Pax6","Serpinf1 Clrn1",1,0,0,0.921619119379253,0.0365280201338539,0.0239063558770224,0.00366406094857031,16.1179430109686,16.1179428006942,0.0609483924656144,2.82434642768366,2.81050396833419,0.812941459854853,0.565628605965625,0.574794543200236,0.812941459854853,0.737995201446056,0.712683914637451,35,"Lamp5 Krt73","#1FCC40","Core","Core","Green","Green",1,1,"Lamp5 Krt73","Leaf_node","Green",1
"PBS4_180321_502_A01","Lamp5 Krt73","Lamp5 Lsp1","L2/3 IT VISp Rrad","Meis2 Adamts19","Serpinf1 Aqp5 Vip","Serpinf1 Clrn1",0.68,0.32,0,0.233463977371715,0.0864918626057638,0.0623666042644568,4.53337121318668,2.91125198156981,15.4910809696351,3.26082722433946,3.82809968110691,4.32360888790794,0.506058496598888,0.51697455755937,0.496464403559968,0.397542259917417,0.484767401107916,0.485633490889564,35,"Lamp5 Krt73","#1FCC40","PoorQ","PoorQ","Purple","Purple",5,5,"n77","PoorQ","Purple",3
"PES4_190802_654_A01","Lamp5 Fam19a1 Pax6","Lamp5 Fam19a1 Tmem182","L2/3 IT VISp Rrad","Lamp5 Fam19a1 Pax6","Lamp5 Krt73","Lamp5 Fam19a1 Tmem182",0.97,0.03,0,0.8445288212006,0.0704484980672557,0.0676256903301996,0.28277369142473,4.46936509072311,15.9832037807101,0.109595278797992,2.26133598999767,1.75945612757464,0.733831506189165,0.729664915772488,0.541461019164298,0.733831506189165,0.687216293096744,0.729664915772488,33,"Lamp5 Fam19a1 Pax6","#45994A","Core","I1","Green","Blue",1,2,"Lamp5 Fam19a1 Pax6","Leaf_node","Green",1
"P8S4_181016_351_A01","Lamp5 Fam19a1 Pax6","Lamp5 Plch2 Dock5","Lamp5 Fam19a1 Tmem182","Lamp5 Plch2 Dock5","Lamp5 Krt73","Lamp5 Lsp1",0.95,0.04,0.01,0.48426186401468,0.199240238727838,0.117716692279742,0.33469859693722,8.15588766836857,4.52258635307729,1.42916264174093,3.30674962580631,3.81874620043178,0.733053168378189,0.729815956299334,0.72965583308179,0.729815956299334,0.743379352776959,0.735721812065254,33,"Lamp5 Fam19a1 Pax6","#45994A","Core","I1","Green","Blue",1,2,"Lamp5 Fam19a1 Pax6","Leaf_node","Green",1
"P1S4_190617_001_A01","Lamp5 Fam19a1 Tmem182","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2","Lamp5 Fam19a1 Tmem182","Lamp5 Ntn1 Npy2r","Lamp5 Fam19a1 Pax6",1,0,0,0.697856202562888,0.209049259646978,0.0847539880619743,0.0522048220183899,16.1179430109686,16.1179428006942,0.0254805495675746,1.91976928683333,1.34064444494883,0.823094711971953,0.618251501994928,0.616771871194825,0.823094711971953,0.791988843873034,0.797435039094152,34,"Lamp5 Fam19a1 Tmem182","#4DFF64","Core","I1","Green","Blue",1,2,"Lamp5 Fam19a1 Tmem182","Leaf_node","Green",1
"P2S4_180813_052_A01","Lamp5 Fam19a1 Tmem182","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2","Lamp5 Fam19a1 Tmem182","Lamp5 Ntn1 Npy2r","Lamp5 Fam19a1 Pax6",1,0,0,0.659068662177968,0.201329370587689,0.132468622751076,0.0522048220183899,16.1179430109686,16.1179428006942,0.0115737343819484,2.03687338225373,1.15949419528781,0.783724054872094,0.570444195460362,0.571939382866435,0.783724054872094,0.747293002604207,0.75240191448235,34,"Lamp5 Fam19a1 Tmem182","#4DFF64","Core","I1","Green","Blue",1,2,"Lamp5 Fam19a1 Tmem182","Leaf_node","Green",1
"P9S4_171024_408_A01","Lamp5 Fam19a1 Tmem182","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2","Lamp5 Ntn1 Npy2r","Lamp5 Fam19a1 Tmem182","Vip Igfbp6 Car10",1,0,0,0.843851728190136,0.0823594444023012,0.033076635523965,0.0522048220183899,16.1179430109686,16.1179428006942,0.141037189604655,1.09155938212909,2.44597550497485,0.694667041210439,0.526986200117296,0.537645214231251,0.6909430919985,0.694667041210439,0.6400286992236,34,"Lamp5 Fam19a1 Tmem182","#4DFF64","Core","I1","Green","Blue",1,2,"Lamp5 Fam19a1 Tmem182","Leaf_node","Green",1
"PAS4_180123_452_A01","Lamp5 Fam19a1 Tmem182","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2","Lamp5 Ntn1 Npy2r","Lamp5 Fam19a1 Tmem182","Lamp5 Fam19a1 Pax6",1,0,0,0.55527111347711,0.232478853180693,0.0902770755921252,0.0522048220183899,16.1179430109686,16.1179428006942,1.03264867992436,0.662270877801916,2.10243146099436,0.710220311213924,0.565242753875032,0.572052834017107,0.701155797628541,0.710220311213924,0.681694977877276,34,"Lamp5 Fam19a1 Tmem182","#4DFF64","Core","I1","Green","Blue",1,2,"Lamp5 Fam19a1 Tmem182","Leaf_node","Green",1
"PBS4_171211_505_A01","Lamp5 Fam19a1 Tmem182","Lamp5 Ntn1 Npy2r","L2/3 IT VISp Rrad","Lamp5 Ntn1 Npy2r","Lamp5 Fam19a1 Tmem182","Lamp5 Fam19a1 Pax6",0.99,0.01,0,0.571390019891598,0.394101416284444,0.030611317222369,0.0279808606515047,2.01993279069418,16.0619436980018,0.716273656826113,0.268786312844325,2.21018477698663,0.844318416417347,0.833469999696721,0.624440242591243,0.833469999696721,0.844318416417347,0.817371929394165,34,"Lamp5 Fam19a1 Tmem182","#4DFF64","Core","I2","Green","red",1,3,"Lamp5 Fam19a1 Tmem182","Leaf_node","Green",1
"PES4_180911_653_A01","Lamp5 Fam19a1 Tmem182","L2/3 IT VISp Rrad","L2/3 IT VISp Adamts2","Lamp5 Fam19a1 Tmem182","Lamp5 Ntn1 Npy2r","Lamp5 Fam19a1 Pax6",1,0,0,0.594110364776806,0.324891811049161,0.0733285111416196,0.0522048220183899,16.1179430109686,16.1179428006942,0.040349694437103,1.47162163650688,1.54621944124617,0.775788031199418,0.567716442857188,0.574488301788261,0.775788031199418,0.736954270566893,0.744452954598101,34,"Lamp5 Fam19a1 Tmem182","#4DFF64","Core","I2","Green","red",1,3,"Lamp5 Fam19a1 Tmem182","Leaf_node","Green",1
